Product Name,Price,Original Prices,Discount rates,Ratings,Brand
I Kall K20 New Combo of Two Mobiles,"1,199",NaN,Nan,3.4,I
"OPPO A5 (Diamond Red, 32 GB)","12,690","15,990",20% off,4.3,OPPO
InFocus F229,"1,185",NaN,Nan,4,InFocus
"Redmi Note 8 Pro (Gamma Green, 64 GB)","16,999",NaN,Nan,4.5,Redmi
"Redmi Y2 (Blue, 32 GB)","7,999","10,499",23% off,4.5,Redmi
"Asus ZenFone Max M1 (Black, 32 GB)","5,999","9,599",37% off,4.1,Asus
"Samsung Galaxy S10 Lite (Prism Black, 128 GB)","42,999","43,999",2% off,4.5,Samsung
Karbonn K451 Power,"1,229",NaN,Nan,3.8,Karbonn
"Redmi Y2 (Rose Gold, 64 GB)","8,499","13,499",37% off,4.4,Redmi
Itel It 2190,877,"1,125",22% off,4.1,Itel
"Redmi Note 8 (Space Black, 64 GB)","9,998","11,999",16% off,4.4,Redmi
"Samsung Galaxy A30s (Prism Crush White, 64 GB)","15,899","18,900",15% off,4.3,Samsung
Kechaoda K33,950,NaN,Nan,4.1,Kechaoda
Snexian Rock,"1,285",NaN,Nan,3.9,Snexian
"Apple iPhone 11 (Red, 128 GB)","73,600",NaN,Nan,4.7,Apple
"Samsung Galaxy S10 Lite (Prism Blue, 128 GB)","42,999","43,999",2% off,4.5,Samsung
Nokia 105,"1,349","1,499",10% off,4.2,Nokia
Karbonn K99 Pro,"1,279",NaN,Nan,3.8,Karbonn
Nokia 105,"1,295","1,349",4% off,4.2,Nokia
JIVI N3720 Power,"2,299",NaN,Nan,4.1,JIVI
Detel D1 Champ,590,NaN,Nan,3.7,Detel
"Honor 20 (Midnight Black, 128 GB)","21,999","35,999",38% off,4.4,Honor
"Samsung Galaxy A71 (Prism Crush Silver, 128 GB)","32,999","34,999",5% off,4.5,Samsung
Gfive Alpha,999,NaN,Nan,3.4,Gfive
"POCO F1 (Armoured Edition, 256 GB)","17,999","30,999",41% off,4.5,POCO
Itel Power 400,"1,299",NaN,Nan,4.1,Itel
"Yu Yureka Black (Chrome Black, 32 GB)","6,899","10,999",37% off,4,Yu
Kechaoda K112,"1,240",NaN,Nan,3.9,Kechaoda
"Asus Zenfone Max Pro M1 (Black, 64 GB)","11,499","17,999",36% off,4.3,Asus
"Micromax Bharat 4 (Blue, 8 GB)","3,998",NaN,Nan,3.8,Micromax
"Vivo Y17 (Mineral Blue, 128 GB)","14,799","18,990",22% off,4.4,Vivo
"Realme X2 Pro (Neptune Blue, 128 GB)","31,999",NaN,Nan,4.6,Realme
"Realme X2 Pro (Lunar White, 64 GB)","29,999",NaN,Nan,4.5,Realme
"Realme X2 Pro (Neptune Blue, 256 GB)","35,999",NaN,Nan,4.6,Realme
Karbonn K140 Pop,799,NaN,Nan,3.9,Karbonn
"OPPO K1 (Piano Black, 64 GB)","14,990","18,990",21% off,4.4,OPPO
"OPPO K1 (Astral Blue, 64 GB)","14,990","18,990",21% off,4.4,OPPO
"OPPO A3s (Purple, 64 GB)","10,599","13,990",24% off,4.3,OPPO
Kechaoda K115,895,NaN,Nan,4.1,Kechaoda
Kechaoda K115,899,"1,349",33% off,4.1,Kechaoda
Kechaoda K28,"1,075",NaN,Nan,4,Kechaoda
Hicell C5,599,NaN,Nan,3.6,Hicell
Hicell C5,599,NaN,Nan,3.6,Hicell
"Realme X2 Pro (Concrete, 256 GB)","36,999",NaN,Nan,4.6,Realme
"Redmi Note 8 Pro (Electric Blue, 128 GB)","18,999","19,999",5% off,4.5,Redmi
"Gionee A1 Lite (Gold, 32 GB)","5,999","11,499",47% off,4,Gionee
Detel D1 Champ,590,NaN,Nan,3.7,Detel
"Yu Yutopia (Graphite Grey, 32 GB)","7,399","29,999",75% off,2.7,Yu
Itel It 2163,793,799,Nan,4,Itel
Itel IT 2163,794,799,Nan,4,Itel
"Realme X (Super Polar White, 128 GB)","21,999",NaN,Nan,4.5,Realme
"Samsung Galaxy S10 Lite (Prism White, 128 GB)","42,999","43,999",2% off,4.5,Samsung
Karbonn K24+,999,NaN,Nan,3.9,Karbonn
"Apple iPhone SE (Black, 256 GB)","58,300",NaN,Nan,4.7,Apple
"Moto G8 Plus (Crystal Pink, 64 GB)","13,999","15,999",12% off,4.3,Moto
"Infinix Hot 9 Pro (Violet, 64 GB)","9,499","10,999",13% off,NaN,Infinix
"Redmi Note 7 Pro (Astro Moonlight White, 64 GB)","12,999","16,999",23% off,4.5,Redmi
